,Shells,Aircraft,Fuel_Bladders,Missiles,fighter_hits,fuel_hits,misses,surviving_fighters,surviving_fuel_bladders,miss_percentage,Shell_Game
0,32,20,0,20,13,0,7,7,0,0.35,No Decoys
1,32,8,0,8,0,0,8,8,0,1.0,No Decoys
2,32,16,0,16,5,0,11,11,0,0.6875,No Decoys
3,32,16,0,16,7,0,9,9,0,0.5625,No Decoys
4,32,16,0,16,8,0,8,8,0,0.5,No Decoys
5,32,8,0,8,1,0,7,7,0,0.875,No Decoys
6,32,20,0,24,16,0,8,4,0,0.3333333333333333,No Decoys
7,32,8,0,8,3,0,5,5,0,0.625,No Decoys
8,32,8,0,8,2,0,6,6,0,0.75,No Decoys
9,32,24,0,20,16,0,4,8,0,0.2,No Decoys
10,32,8,0,12,3,0,9,5,0,0.75,No Decoys
11,32,8,0,12,4,0,8,4,0,0.6666666666666666,No Decoys
12,32,12,0,8,3,0,5,9,0,0.625,No Decoys
13,32,8,0,8,4,0,4,4,0,0.5,No Decoys
14,32,20,0,20,14,0,6,6,0,0.3,No Decoys
15,32,16,0,16,6,0,10,10,0,0.625,No Decoys
16,32,20,0,16,12,0,4,8,0,0.25,No Decoys
17,32,8,0,8,1,0,7,7,0,0.875,No Decoys
18,32,20,0,16,11,0,5,9,0,0.3125,No Decoys
19,32,12,0,12,5,0,7,7,0,0.5833333333333334,No Decoys
20,32,12,0,12,4,0,8,8,0,0.6666666666666666,No Decoys
21,32,24,0,20,15,0,5,9,0,0.25,No Decoys
22,32,16,0,16,5,0,11,11,0,0.6875,No Decoys
23,32,8,0,8,1,0,7,7,0,0.875,No Decoys
24,32,24,0,20,16,0,4,8,0,0.2,No Decoys
25,32,8,0,8,0,0,8,8,0,1.0,No Decoys
26,32,12,0,12,6,0,6,6,0,0.5,No Decoys
27,32,12,0,16,7,0,9,5,0,0.5625,No Decoys
28,32,8,0,4,2,0,2,6,0,0.5,No Decoys
29,32,20,0,16,9,0,7,11,0,0.4375,No Decoys
30,32,16,0,12,5,0,7,11,0,0.5833333333333334,No Decoys
31,32,20,0,20,13,0,7,7,0,0.35,No Decoys
32,32,8,0,12,3,0,9,5,0,0.75,No Decoys
33,32,8,0,12,4,0,8,4,0,0.6666666666666666,No Decoys
34,32,24,0,24,17,0,7,7,0,0.2916666666666667,No Decoys
35,32,16,0,16,8,0,8,8,0,0.5,No Decoys
36,32,8,0,12,4,0,8,4,0,0.6666666666666666,No Decoys
37,32,16,0,12,4,0,8,12,0,0.6666666666666666,No Decoys
38,32,8,0,12,4,0,8,4,0,0.6666666666666666,No Decoys
39,32,20,0,20,10,0,10,10,0,0.5,No Decoys
40,32,16,0,20,10,0,10,6,0,0.5,No Decoys
41,32,20,0,20,14,0,6,6,0,0.3,No Decoys
42,32,8,0,4,0,0,4,8,0,1.0,No Decoys
43,32,12,0,12,5,0,7,7,0,0.5833333333333334,No Decoys
44,32,8,0,12,4,0,8,4,0,0.6666666666666666,No Decoys
45,32,16,0,20,9,0,11,7,0,0.55,No Decoys
46,32,16,0,12,6,0,6,10,0,0.5,No Decoys
47,32,16,0,16,8,0,8,8,0,0.5,No Decoys
48,32,16,0,20,11,0,9,5,0,0.45,No Decoys
49,32,8,0,12,1,0,11,7,0,0.9166666666666666,No Decoys
50,32,12,0,16,5,0,11,7,0,0.6875,No Decoys
51,32,12,0,8,4,0,4,8,0,0.5,No Decoys
52,32,24,0,24,18,0,6,6,0,0.25,No Decoys
53,32,8,0,8,1,0,7,7,0,0.875,No Decoys
54,32,16,0,16,7,0,9,9,0,0.5625,No Decoys
55,32,24,0,24,16,0,8,8,0,0.3333333333333333,No Decoys
56,32,12,0,12,4,0,8,8,0,0.6666666666666666,No Decoys
57,32,24,0,24,18,0,6,6,0,0.25,No Decoys
58,32,20,0,24,12,0,12,8,0,0.5,No Decoys
59,32,8,0,8,0,0,8,8,0,1.0,No Decoys
60,32,8,0,8,2,0,6,6,0,0.75,No Decoys
61,32,16,0,12,8,0,4,8,0,0.3333333333333333,No Decoys
62,32,20,0,24,15,0,9,5,0,0.375,No Decoys
63,32,20,0,20,12,0,8,8,0,0.4,No Decoys
64,32,20,0,20,10,0,10,10,0,0.5,No Decoys
65,32,24,0,24,19,0,5,5,0,0.20833333333333334,No Decoys
66,32,20,0,20,12,0,8,8,0,0.4,No Decoys
67,32,16,0,20,7,0,13,9,0,0.65,No Decoys
68,32,16,0,20,11,0,9,5,0,0.45,No Decoys
69,32,24,0,24,17,0,7,7,0,0.2916666666666667,No Decoys
70,32,20,0,20,14,0,6,6,0,0.3,No Decoys
71,32,20,0,16,11,0,5,9,0,0.3125,No Decoys
72,32,24,0,28,20,0,8,4,0,0.2857142857142857,No Decoys
73,32,24,0,24,17,0,7,7,0,0.2916666666666667,No Decoys
74,32,12,0,8,3,0,5,9,0,0.625,No Decoys
75,32,20,0,20,11,0,9,9,0,0.45,No Decoys
76,32,20,0,24,14,0,10,6,0,0.4166666666666667,No Decoys
77,32,16,0,16,8,0,8,8,0,0.5,No Decoys
78,32,8,0,12,6,0,6,2,0,0.5,No Decoys
79,32,20,0,20,14,0,6,6,0,0.3,No Decoys
80,32,20,0,20,11,0,9,9,0,0.45,No Decoys
81,32,20,0,20,12,0,8,8,0,0.4,No Decoys
82,32,8,0,4,1,0,3,7,0,0.75,No Decoys
83,32,8,0,4,2,0,2,6,0,0.5,No Decoys
